x,N_hombre,N_mujer,D_hombre,D_mujer
0,11885,11396,139,114
1,43800,43379,23,17
5,59 685,58 053,14,6
10,60 747,58 971,10,15
15,61 532,59 675,56,32
20,56 738,57 199,97,47
25,50 890,53 868,149,66
30,45 384,51 128,163,67
35,43 586,51 310,205,85
40,41 550,47 898,303,147
45,37 282,43 113,425,210
50,32 540,38 242,535,281
55,26 186,30 129,595,372
60,21 684,24 821,795,403
65,15 919,18 039,685,475
70,11 325,13 170,673,477
75,8 240,9 127,663,493
80,5 335,6 256,599,564
85,3 225,4 100,485,487
90,1 353,1 864,329,384
95+,589,839,146,202
